,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed,Max Temp C°
0,hilo,75,US,1554164119,61,19.71,-155.08,300.15,3.6,148.97222222222223
1,vardo,1,US,1554164045,35,39.62,-77.74,280.15,1.5,137.86111111111111
2,clyde river,90,CA,1554162660,77,70.47,-68.59,254.15,6.2,123.41666666666667
3,camacha,20,PT,1554163200,63,33.08,-16.33,289.15,1.0,142.86111111111111
4,kaeo,20,NZ,1554163684,80,-35.1,173.78,292.59,2.68,144.7722222222222
5,airai,12,TL,1554163913,81,-8.93,125.41,297.096,0.75,147.27555555555557
6,tasiilaq,44,GL,1554159000,62,65.61,-37.64,269.15,4.1,131.75
7,arraial do cabo,20,BR,1554159600,73,-22.97,-42.02,297.15,2.55,147.30555555555554
8,college,1,US,1554163819,72,64.86,-147.8,284.15,1.8,140.08333333333331
9,molina,0,CL,1554159600,56,-35.11,-71.28,293.15,1.5,145.08333333333331
10,bredasdorp,80,ZA,1554163236,84,-34.53,20.04,286.48,4.65,141.3777777777778
11,castro,90,CL,1554159600,100,-42.48,-73.76,284.15,4.6,140.08333333333331
12,byron bay,90,AU,1554163956,88,-28.65,153.62,297.15,3.6,147.30555555555554
13,yellowknife,75,CA,1554163516,57,62.45,-114.38,268.15,8.7,131.19444444444443
14,tilichiki,92,RU,1554164128,92,60.47,166.1,274.446,4.65,134.69222222222226
15,husavik,32,CA,1554163824,54,50.56,-96.99,278.71,2.24,137.0611111111111
16,kavieng,92,PG,1554164006,95,-2.57,150.8,302.796,4.05,150.44222222222223
17,itamaraca,40,BR,1554159600,88,-7.75,-34.83,299.15,1.5,148.41666666666666
18,lasa,20,CY,1554162600,93,34.92,32.53,284.15,2.6,140.08333333333331
19,sawtell,90,AU,1554164009,93,-30.38,153.1,292.04,5.1,144.4666666666667
20,pevek,0,RU,1554163928,81,69.7,170.27,269.946,7.25,132.19222222222226
21,san quintin,48,PH,1554164130,73,17.54,120.52,297.896,1.6,147.72000000000003
22,carnarvon,0,ZA,1554163930,55,-30.97,22.13,279.746,5.55,137.63666666666666
23,avarua,36,CK,1554161400,65,-21.21,-159.78,301.15,4.6,149.52777777777777
24,punta arenas,90,CL,1554163946,93,-53.16,-70.91,283.15,4.1,139.52777777777777
25,khatanga,92,RU,1554163922,94,71.98,102.47,272.596,3.75,133.66444444444446
26,tuktoyaktuk,40,CA,1554160680,78,69.44,-133.03,261.15,3.6,127.30555555555554
27,lata,0,IN,1554164131,56,30.78,78.62,277.996,1.8,136.66444444444443
28,lethem,8,GY,1554164131,36,3.38,-59.8,306.146,7.2,152.30333333333334
29,busselton,0,AU,1554164106,62,-33.64,115.35,291.48,3.05,144.15555555555557
30,kemin,0,KG,1554164132,92,42.79,75.7,269.946,0.7,132.19222222222226
31,port alfred,92,ZA,1554163785,93,-33.59,26.89,288.15,0.45,142.30555555555554
32,hermanus,0,ZA,1554164105,84,-34.42,19.24,288.71,2.35,142.61666666666667
33,kavaratti,20,IN,1554164133,100,10.57,72.64,301.596,4.35,149.77555555555557
34,rikitea,0,PF,1554163886,100,-23.12,-134.97,297.746,6.7,147.63666666666666
35,hobart,75,AU,1554164055,62,-42.88,147.33,289.26,4.6,142.92222222222222
36,taoudenni,0,ML,1554164080,40,22.68,-3.98,288.746,1.4,142.63666666666666
37,puerto ayora,20,EC,1554163213,74,-0.74,-90.35,301.15,6.2,149.52777777777777
38,bonthe,32,SL,1554164134,82,7.53,-12.5,301.246,1.75,149.5811111111111
39,meybod,0,IR,1554159600,34,32.25,54.02,293.15,5.1,145.08333333333331
40,ushuaia,75,AR,1554159600,81,-54.81,-68.31,284.15,2.3,140.08333333333331
41,qaanaaq,0,GL,1554164011,74,77.48,-69.36,253.396,3.35,122.99777777777777
42,albany,1,US,1554164042,34,42.65,-73.75,275.15,4.6,135.08333333333331
43,fortuna,40,ES,1554164071,93,38.18,-1.13,287.59,1.5,141.99444444444444
44,yingcheng,92,CN,1554159600,76,30.93,113.57,287.15,2.0,141.75
45,soyo,0,AO,1554164135,89,-6.13,12.37,300.646,2.85,149.2477777777778
46,mataura,92,NZ,1554163804,70,-46.19,168.86,285.37,4.47,140.76111111111112
47,caravelas,8,BR,1554163935,100,-17.73,-39.27,300.296,5.45,149.05333333333334
48,guiglo,56,CI,1554164136,95,6.55,-7.5,296.246,1.95,146.80333333333334
49,cabo san lucas,5,MX,1554164101,50,22.89,-109.91,302.04,2.6,150.02222222222224
50,lebu,75,ET,1554159600,67,8.96,38.73,289.15,1.5,142.86111111111111
51,jalingo,8,NG,1554164137,25,10.3,10.93,298.096,4.15,147.8311111111111
52,vaini,0,IN,1554164137,90,15.34,74.49,290.496,0.5,143.60888888888888
53,ponta do sol,68,BR,1554164056,87,-20.63,-46.0,293.646,1.3,145.3588888888889
54,kodiak,1,US,1554164023,7,39.95,-94.76,286.15,5.1,141.19444444444443
55,port elizabeth,1,US,1554163925,35,39.31,-74.98,280.37,1.5,137.98333333333335
56,redondela,0,ES,1554163916,87,42.28,-8.61,287.04,1.5,141.6888888888889
57,mahebourg,40,MU,1554164041,88,-20.41,57.7,297.59,0.5,147.54999999999998
58,sao jose da coroa grande,92,BR,1554164138,96,-8.9,-35.15,298.796,1.6,148.22
59,beringovskiy,88,RU,1554164139,99,63.05,179.32,273.146,4.2,133.97000000000003
60,aklavik,75,CA,1554159600,73,68.22,-135.01,269.15,4.1,131.75
61,skibbereen,20,IE,1554163200,86,51.55,-9.27,277.15,5.7,136.19444444444443
62,bluff,0,AU,1554163898,53,-23.58,149.07,297.896,5.65,147.72000000000003
63,leningradskiy,56,RU,1554163911,98,69.38,178.42,265.796,5.25,129.88666666666666
64,lucera,12,IT,1554164140,66,41.51,15.34,280.146,2.35,137.8588888888889
65,lagoa,0,PT,1554163929,87,37.14,-8.45,287.04,1.5,141.6888888888889
66,xiongzhou,88,CN,1554164111,81,32.34,118.83,288.15,2.0,142.30555555555554
67,cayenne,20,GF,1554161400,83,4.94,-52.33,299.15,1.5,148.41666666666666
68,mount gambier,0,AU,1554159600,76,-37.83,140.78,286.15,4.1,141.19444444444443
69,innisfail,75,CA,1554163516,45,52.02,-113.95,281.15,5.7,138.41666666666666
70,jamestown,0,AU,1554164131,69,-33.21,138.6,289.646,2.5,143.13666666666668
71,mar del plata,0,AR,1554164002,57,-46.43,-67.52,292.746,12.0,144.85888888888888
72,hambantota,0,LK,1554164124,100,6.12,81.12,299.546,1.95,148.63666666666666
73,leh,20,IN,1554164142,84,34.16,77.58,254.246,0.55,123.47000000000001
74,laramie,90,US,1554164012,38,41.31,-105.59,280.37,7.7,137.98333333333335
75,machico,40,PT,1554164109,62,32.7,-16.77,289.15,2.1,142.86111111111111
76,chokurdakh,0,RU,1554163949,91,70.62,147.9,258.646,5.25,125.91444444444446
77,sangar,80,RU,1554164143,73,63.92,127.47,268.446,0.75,131.3588888888889
78,genhe,0,CN,1554164041,52,50.78,121.52,266.246,2.5,130.13666666666666
